Nation,Gold,Silver,Bronze,Total
United States,334,259,204,797
Great Britain,55,80,70,205
Finland,48,36,30,114
Kenya,30,37,29,96
Poland,25,18,14,57
Jamaica,22,35,20,77
Ethiopia,22,10,21,53
Australia,21,26,26,73
Russia,92,86,98,276
Sweden,19,21,41,81
Italy,19,15,26,60
Germany,72,92,98,262
France,14,26,29,69
Canada,14,15,31,60
Romania,11,14,10,35
Cuba,10,14,17,41
Hungary,10,12,18,40
New Zealand,10,3,11,24
South Africa,8,14,6,28
China,8,10,13,31
Greece,7,12,11,30
Japan,7,9,9,25
Norway,7,5,8,20
Morocco,6,5,8,19
Netherlands,6,4,6,16
Bulgaria,5,8,6,19
Belgium,5,5,2,12
Brazil,5,3,9,17
Bahamas,5,2,5,12
Czech Republic,16,9,12,37
Algeria,4,3,2,9
Portugal,4,2,4,10
Ireland,4,2,1,7
Mexico,3,6,2,11
Belarus,3,5,6,14
Spain,3,5,6,14
Trinidad and Tobago,3,4,8,15
Croatia,3,1,1,5
Lithuania,3,1,1,5
Nigeria,2,4,7,13
Argentina,2,3,0,5
Ukraine,2,2,13,17
Tunisia,2,2,1,5
Estonia,2,1,3,6
Dominican Republic,2,1,0,3
Kazakhstan,2,0,2,4
Uganda,2,0,1,3
Cameroon,2,0,0,2
Austria,1,2,4,7
Slovenia,1,2,1,4
Bahrain,1,1,1,3
Colombia,1,1,1,3
Burundi,1,1,0,2
Ecuador,1,1,0,2
Grenada,1,1,0,2
Mixed team,1,1,0,2
South Korea,1,1,0,2
Panama,1,0,2,3
Mozambique,1,0,1,2
Luxembourg,1,0,0,1
Slovakia,1,0,0,1
Syria,1,0,0,1
Tajikistan,1,0,0,1
Switzerland,0,6,2,8
Denmark,0,4,3,7
Latvia,0,4,1,5
Namibia,0,4,0,4
Chile,0,2,0,2
India,0,2,0,2
Sri Lanka,0,2,0,2
Tanzania,0,2,0,2
Yugoslavia,0,2,0,2
Qatar,0,1,2,3
Chinese Taipei,0,1,1,2
Iceland,0,1,1,2
Venezuela,0,1,1,2
Bohemia,0,1,0,1
Botswana,0,1,0,1
Guatemala,0,1,0,1
Haiti,0,1,0,1
Iran,0,1,0,1
Ivory Coast,0,1,0,1
Saudi Arabia,0,1,0,1
Senegal,0,1,0,1
Sudan,0,1,0,1
Zambia,0,1,0,1
Turkey,0,0,3,3
British West Indies,0,0,2,2
Philippines,0,0,2,2
Australasia,0,0,1,1
Barbados,0,0,1,1
Djibouti,0,0,1,1
Eritrea,0,0,1,1
Puerto Rico,0,0,1,1
Serbia,0,0,1,1
Totals,976,980,980,2936
