Nation,Gold,Silver,Bronze,Total
Germany,52,36,34,122
Hungary,25,29,26,80
Sweden,15,11,4,30
Romania,10,10,14,34
France,8,9,19,36
Slovakia,8,6,4,18
New Zealand,7,3,2,12
Italy,6,6,4,16
Norway,6,4,4,14
Great Britain,5,7,5,17
Spain,5,7,4,16
United States,5,5,6,16
Finland,5,2,3,10
Canada,4,10,10,24
Bulgaria,4,5,8,17
Czech Republic,11,9,6,26
Australia,3,8,13,24
Denmark,3,6,5,14
Austria,3,5,6,14
Ukraine,3,2,3,8
Russia,32,17,17,66
Belarus,2,2,4,8
Yugoslavia,2,2,1,5
China,2,0,0,2
Poland,0,7,13,20
Netherlands,0,3,5,8
Cuba,0,3,0,3
Brazil,0,2,1,3
Latvia,0,2,0,2
Slovenia,0,2,0,2
Azerbaijan,0,1,1,2
Moldova,0,1,0,1
Portugal,0,1,0,1
Serbia,0,1,0,1
Switzerland,0,1,0,1
Israel,0,0,1,1
Japan,0,0,1,1
Lithuania,0,0,1,1
South Africa,0,0,1,1
Togo,0,0,1,1
Totals,226,225,227,678
