Nation,Gold,Silver,Bronze,Total
Great Britain,28,19,11,58
United States,19,23,18,60
Norway,17,11,3,31
Spain,13,5,1,19
France,12,9,14,35
Denmark,12,9,9,30
Australia,11,8,8,27
Sweden,10,12,13,35
New Zealand,9,7,6,22
Netherlands,7,8,7,22
Brazil,7,3,8,18
Germany,8,9,10,27
Austria,3,4,1,8
Italy,3,3,8,14
Greece,3,2,3,8
Belgium,2,4,3,9
China,2,3,1,6
Finland,2,2,7,11
Mixed team,2,0,0,2
Argentina,1,4,5,10
Ukraine,1,2,2,5
Switzerland,1,1,1,3
Croatia,1,1,0,2
Poland,1,0,3,4
Israel,1,0,2,3
Bahamas,1,0,1,2
Hong Kong,1,0,0,1
Canada,0,3,6,9
Portugal,0,2,2,4
Slovenia,0,2,1,3
Ireland,0,2,0,2
Russia,4,6,5,15
Japan,0,1,1,2
Cuba,0,1,0,1
Cyprus,0,1,0,1
Czech Republic,0,1,0,1
Lithuania,0,1,0,1
Netherlands Antilles,0,1,0,1
Virgin Islands,0,1,0,1
Estonia,0,0,2,2
Hungary,0,0,1,1
Totals,182,171,163,516
