Nation,Gold,Silver,Bronze,Total
South Korea,12,2,5,19
China,7,1,2,10
United States,2,2,5,9
Mexico,2,2,3,7
Chinese Taipei,2,1,5,8
Great Britain,2,1,3,6
Iran,2,1,3,6
Spain,1,4,1,6
Turkey,1,3,3,7
Greece,1,3,0,4
Cuba,1,2,2,5
Italy,1,1,1,3
Australia,1,1,0,2
Serbia,1,1,0,2
Azerbaijan,1,0,2,3
Ivory Coast,1,0,1,2
Argentina,1,0,0,1
Jordan,1,0,0,1
France,0,3,4,7
Thailand,0,2,3,5
Russia,0,2,2,4
Norway,0,2,0,2
Canada,0,1,1,2
Dominican Republic,0,1,1,2
Germany,0,1,1,2
Gabon,0,1,0,1
Niger,0,1,0,1
Vietnam,0,1,0,1
Croatia,0,0,3,3
Afghanistan,0,0,2,2
Brazil,0,0,2,2
Egypt,0,0,2,2
Venezuela,0,0,2,2
Colombia,0,0,1,1
Japan,0,0,1,1
Kazakhstan,0,0,1,1
Nigeria,0,0,1,1
Tunisia,0,0,1,1
Totals,40,40,64,144
