Nation,Gold,Silver,Bronze,Total
United States,21,6,12,39
Great Britain,17,14,12,43
France,5,6,8,19
Russia,3,3,4,10
South Africa,3,2,1,6
Spain,2,7,3,12
Germany,3,6,3,12
Switzerland,2,2,0,4
Chile,2,1,1,4
Mixed team,1,3,3,7
Australia,1,1,3,5
Belarus,1,0,1,2
Belgium,1,0,1,2
China,1,0,1,2
Canada,1,0,0,1
Puerto Rico,1,0,0,1
Sweden,0,3,5,8
Czech Republic,1,4,6,11
Argentina,0,2,4,6
Japan,0,2,1,3
Greece,0,1,1,2
Netherlands,0,1,1,2
Austria,0,1,0,1
Denmark,0,1,0,1
Romania,0,1,0,1
Croatia,0,0,3,3
Australasia,0,0,1,1
Bohemia,0,0,1,1
Bulgaria,0,0,1,1
Hungary,0,0,1,1
India,0,0,1,1
Italy,0,0,1,1
Norway,0,0,1,1
Serbia,0,0,1,1
Totals,66,67,82,215
