Nation,Gold,Silver,Bronze,Total
United States,54,43,36,133
Japan,32,20,17,69
Russia,98,48,42,188
Turkey,29,18,16,63
Sweden,28,27,31,86
Finland,26,28,29,83
Hungary,19,16,19,54
Bulgaria,16,32,21,69
South Korea,11,11,14,36
Iran,10,14,19,43
Cuba,9,6,7,22
Romania,7,8,19,34
Italy,7,4,10,21
Poland,5,9,11,25
Estonia,5,2,4,11
Germany,8,24,18,50
Azerbaijan,4,7,11,22
Yugoslavia,4,6,6,16
France,4,4,10,18
Switzerland,4,4,6,14
Canada,3,7,7,17
Ukraine,3,5,6,14
Georgia,3,4,10,17
Great Britain,3,4,10,17
North Korea,3,2,5,10
China,2,3,6,11
Armenia,2,3,3,8
Egypt,2,3,2,7
Uzbekistan,2,2,3,7
Norway,2,2,2,6
Kazakhstan,1,5,10,16
Greece,1,3,7,11
Serbia,1,0,0,1
Belarus,0,5,6,11
Mongolia,0,4,5,9
Denmark,0,3,6,9
Belgium,0,3,0,3
Russian Empire,0,3,0,3
India,0,1,4,5
Australia,0,1,2,3
Lebanon,0,1,2,3
Lithuania,0,1,1,2
Latvia,0,1,0,1
Mexico,0,1,0,1
Slovakia,0,1,0,1
Syria,0,1,0,1
Tajikistan,0,1,0,1
Austria,0,0,2,2
Colombia,0,0,2,2
Czech Republic,1,7,8,16
Macedonia,0,0,1,1
Moldova,0,0,1,1
Pakistan,0,0,1,1
Tunisia,0,0,1,1
Totals,409,408,459,1276
