Nation,Gold,Silver,Bronze,Total
Cuba,4,0,1,5
Great Britain,2,2,2,6
Russia,1,1,4,6
Brazil,1,1,1,3
Turkey,1,1,0,2
Japan,1,0,2,3
Ireland,1,0,1,2
Bulgaria,1,0,0,1
Uzbekistan,1,0,0,1
United States,0,3,1,4
Philippines,0,2,1,3
China,0,2,0,2
Ukraine,0,1,0,1
Kazakhstan,0,0,2,2
Armenia,0,0,1,1
Australia,0,0,1,1
Azerbaijan,0,0,1,1
Chinese Taipei,0,0,1,1
Finland,0,0,1,1
Ghana,0,0,1,1
India,0,0,1,1
Italy,0,0,1,1
Netherlands,0,0,1,1
New Zealand,0,0,1,1
Thailand,0,0,1,1
Totals,13,13,26,52
