Nation,Gold,Silver,Bronze,Total
Japan,9,2,1,12
France,2,3,3,8
Kosovo,2,0,0,2
Georgia,1,3,0,4
Czech Republic,1,0,0,1
Germany,0,1,2,3
Mongolia,0,1,2,3
South Korea,0,1,2,3
Austria,0,1,1,2
Chinese Taipei,0,1,0,1
Cuba,0,1,0,1
Slovenia,0,1,0,1
Russia,0,0,3,3
Brazil,0,0,2,2
Canada,0,0,2,2
Italy,0,0,2,2
Azerbaijan,0,0,1,1
Belgium,0,0,1,1
Great Britain,0,0,1,1
Hungary,0,0,1,1
Israel,0,0,1,1
Kazakhstan,0,0,1,1
Netherlands,0,0,1,1
Portugal,0,0,1,1
Ukraine,0,0,1,1
Uzbekistan,0,0,1,1
Totals,15,15,30,60
