Nation,Gold,Silver,Bronze,Total
South Korea,2.629854368932039,1.229854368932039,1.0298543689320387,4.889563106796117
United States,0.9381877022653722,0.6381877022653721,0.4381877022653722,2.0145631067961167
Italy,0.2631877022653722,0.2631877022653722,0.36318770226537217,0.8895631067961165
China,0.17985436893203882,0.6798543689320388,0.27985436893203886,1.1395631067961163
Finland,0.13818770226537216,0.13818770226537216,0.23818770226537217,0.5145631067961165
Ukraine,0.13818770226537216,0.13818770226537216,0.23818770226537217,0.5145631067961165
France,0.12985436893203883,0.12985436893203883,0.12985436893203883,0.3895631067961165
Australia,0.12985436893203883,0.029854368932038834,0.22985436893203884,0.3895631067961165
Spain,0.11318770226537217,0.013187702265372168,0.013187702265372168,0.1395631067961165
Japan,0.0465210355987055,0.3465210355987055,0.2465210355987055,0.6395631067961165
Germany,0.029854368932038834,0.22985436893203884,0.12985436893203883,0.3895631067961165
Sweden,0.021521035598705503,0.2215210355987055,0.021521035598705503,0.2645631067961165
Chinese Taipei,0.029854368932038834,0.12985436893203883,0.22985436893203884,0.3895631067961165
Mexico,0.021521035598705503,0.1215210355987055,0.1215210355987055,0.2645631067961165
Poland,0.021521035598705503,0.1215210355987055,0.1215210355987055,0.2645631067961165
Russia,0.19652103559870548,0.49652103559870553,0.6965210355987055,1.3895631067961165
Indonesia,0.013187702265372168,0.11318770226537217,0.013187702265372168,0.1395631067961165
Great Britain,0.038187702265372166,0.038187702265372166,0.4381877022653722,0.5145631067961165
Netherlands,0.013187702265372168,0.013187702265372168,0.11318770226537217,0.1395631067961165
Totals,5.004854368932039,5.004854368932039,5.004854368932039,15.014563106796116
