Nation,Gold,Silver,Bronze,Total
United States,16.36032852804224,12.697740706028185,10.05998560398737,39.118054838057795
Great Britain,2.7232428309859094,3.9114119510929686,3.4318201143582745,10.066474896437152
Finland,2.355158116642764,1.7702133190515963,1.4824582170107798,5.60782965270514
Kenya,1.4822240477635036,1.81204171253433,1.428368243146575,4.7226340034444085
Poland,1.2281619804923194,0.8875338439918176,0.6956971092979399,2.811392933782077
Jamaica,1.0905067564783826,1.7096519555416143,0.9902642004395736,3.7904229124595705
Ethiopia,1.0823323695574016,0.502497976783899,1.030048997192062,2.614879343533363
Australia,1.0409886209533012,1.2766569046602265,1.2766569046602265,3.5943024302737543
Russia,4.529187687375778,4.223349614441687,4.7988598185233196,13.551397120340784
Sweden,0.9474019411837922,1.0395857819332066,1.9987694554025945,3.9857571785195933
Italy,0.9402493526279339,0.744678091336532,1.272229111744695,2.957156555709161
Germany,3.561304540906846,4.506336324111931,4.794091426152748,12.861732291171524
France,0.7025360591987115,1.275294506840063,1.4191720578604714,3.3970026238992457
Canada,0.6994706641033437,0.744678091336532,1.5120250301120421,2.956173785551918
Romania,0.5464884646125677,0.6882039212870408,0.4963671865931632,1.7310595724927718
Cuba,0.5003763236378949,0.690247518017286,0.8341250690376942,2.024748910692875
Hungary,0.500035724182854,0.5939885512153064,0.8817436532561227,1.975767928654283
New Zealand,0.49458613290220005,0.15690630687342794,0.540579776261183,1.1920722160368111
South Africa,0.3996370553125275,0.6858197251017546,0.30214625571399956,1.3876030361282816
China,0.40065885367765014,0.4950047887729997,0.6388823397934078,1.5345459822440577
Greece,0.35216251651769126,0.5905825566648977,0.5426233729914283,1.485368446174017
Japan,0.35045951924248686,0.44500200836928516,0.44500200836928516,1.2404635359810572
Norway,0.3487565219672825,0.2514622764002032,0.3953398274206114,0.9955586257880971
Morocco,0.30026018480732364,0.25112167694516235,0.3949992279655706,0.9463810897180565
Netherlands,0.299238386442201,0.20214069490657036,0.29805906225350914,0.7994381436022806
Bulgaria,0.25210444710240554,0.3949992279655706,0.29908086061863176,0.9461845356866079
Belgium,0.24972025091711944,0.24873748075987623,0.10485992973946809,0.6033176614164638
Brazil,0.2514232481923238,0.1545221106881418,0.44227721272895815,0.8482225716094238
Bahamas,0.24972025091711944,0.10485992973946809,0.24873748075987623,0.6033176614164637
Czech Republic,0.7879483520472397,0.4490892018297756,0.5929667528501837,1.830004306727199
Algeria,0.20054271484707883,0.15179731504781485,0.10383813137434547,0.45617816126923916
Portugal,0.2008833143021197,0.10417873082938633,0.20009709817632512,0.5051591433078312
Ireland,0.19986151593699708,0.10315693246426372,0.05519774879079433,0.3582161971920551
Mexico,0.15306817605224254,0.29635606497830475,0.10451933028442721,0.5539435713149745
Belarus,0.15408997441736513,0.24941867966995795,0.29737786334342736,0.7008865174307504
Spain,0.15408997441736513,0.24941867966995795,0.29737786334342736,0.7008865174307504
Trinidad and Tobago,0.15443057387240602,0.2018000954515295,0.39363683014540707,0.7498674994693426
Croatia,0.1510245793219973,0.054516549880712584,0.054516549880712584,0.2600576790834225
Lithuania,0.1510245793219973,0.054516549880712584,0.054516549880712584,0.2600576790834225
Nigeria,0.10559363725740624,0.20111889654144774,0.3449964475618559,0.6517089813607099
Argentina,0.10286884161707927,0.15043491722765137,0.006557366207243194,0.25986112505197384
Ukraine,0.10695603507756973,0.10656292701467245,0.6341139474228357,0.8476329095150779
Tunisia,0.10286884161707927,0.10247573355418198,0.054516549880712584,0.25986112505197384
Estonia,0.10320944107212014,0.05485714933575346,0.15077551668269223,0.3088421070905658
Dominican Republic,0.10218764270699753,0.053835350970630844,0.00587616729716145,0.16189916097478982
Kazakhstan,0.1025282421620384,0.0062167667522023224,0.10213513409914111,0.21088014301338184
Uganda,0.10218764270699753,0.00587616729716145,0.053835350970630844,0.16189916097478982
Cameroon,0.10184704325195665,0.005535567842120578,0.005535567842120578,0.1129181789361978
Austria,0.055394302822242975,0.10315693246426372,0.1990752998112025,0.3576265350977092
Slovenia,0.05437250445712036,0.10213513409914111,0.054175950425671714,0.2106835889819332
Bahrain,0.05403190500207949,0.053835350970630844,0.053835350970630844,0.16170260694334115
Colombia,0.05403190500207949,0.053835350970630844,0.053835350970630844,0.16170260694334115
Burundi,0.05369130554703862,0.053494751515589974,0.005535567842120578,0.11272162490474917
Ecuador,0.05369130554703862,0.053494751515589974,0.005535567842120578,0.11272162490474917
Grenada,0.05369130554703862,0.053494751515589974,0.005535567842120578,0.11272162490474917
Mixed team,0.05369130554703862,0.053494751515589974,0.005535567842120578,0.11272162490474917
South Korea,0.05369130554703862,0.053494751515589974,0.005535567842120578,0.11272162490474917
Panama,0.05403190500207949,0.00587616729716145,0.10179453464410024,0.16170260694334118
Mozambique,0.05369130554703862,0.005535567842120578,0.053494751515589974,0.11272162490474917
Luxembourg,0.05335070609199774,0.005194968387079706,0.005194968387079706,0.06374064286615716
Slovakia,0.05335070609199774,0.005194968387079706,0.005194968387079706,0.06374064286615716
Syria,0.05335070609199774,0.005194968387079706,0.005194968387079706,0.06374064286615716
Tajikistan,0.05335070609199774,0.005194968387079706,0.005194968387079706,0.06374064286615716
Switzerland,0.00757916457236581,0.29533426661318213,0.1034975319193046,0.40641096310485253
Denmark,0.007238565117324939,0.1990752998112025,0.1511161161377331,0.35742998106626056
Latvia,0.006557366207243194,0.19839410090112078,0.054516549880712584,0.25946801698907657
Namibia,0.0062167667522023224,0.1980535014460799,0.0062167667522023224,0.21048703495048451
Chile,0.005535567842120578,0.10145393518905936,0.005535567842120578,0.1125250708733005
India,0.005535567842120578,0.10145393518905936,0.005535567842120578,0.1125250708733005
Sri Lanka,0.005535567842120578,0.10145393518905936,0.005535567842120578,0.1125250708733005
Tanzania,0.005535567842120578,0.10145393518905936,0.005535567842120578,0.1125250708733005
Yugoslavia,0.005535567842120578,0.10145393518905936,0.005535567842120578,0.1125250708733005
Qatar,0.00587616729716145,0.053835350970630844,0.10179453464410024,0.16150605291189252
Chinese Taipei,0.005535567842120578,0.053494751515589974,0.053494751515589974,0.11252507087330052
Iceland,0.005535567842120578,0.053494751515589974,0.053494751515589974,0.11252507087330052
Venezuela,0.005535567842120578,0.053494751515589974,0.053494751515589974,0.11252507087330052
