Nation,Gold,Silver,Bronze,Total
China,2.509293880585757,1.3328232923504628,1.9705941901832802,5.8127113631195
Indonesia,1.0076290637156127,0.8899820048920832,0.8156785993193277,2.7132896679270235
South Korea,0.8899820048920832,1.0076290637156127,0.8156785993193277,2.7132896679270235
Denmark,0.1979731258687758,0.4332672435158346,0.5013786986241937,1.1326190680088042
Japan,0.15080331454802107,0.15080331454802107,0.1384194136192285,0.4400260427152706
Spain,0.13193539001971918,0.014288331196189778,0.014288331196189778,0.16051205241209873
Malaysia,0.08032606704524638,0.7862084199864229,0.29085238283472004,1.1573868698663894
Great Britain,0.033156255724491664,0.15080331454802107,0.24368257151396533,0.4276421417864781
India,0.023722293460340722,0.14136935228387013,0.12898545135507755,0.2940770970992884
Netherlands,0.014288331196189778,0.13193539001971918,0.014288331196189778,0.16051205241209873
Russia,0.014288331196189778,0.014288331196189778,0.11955148909092661,0.14812815148330616
Totals,5.004854368932039,5.004854368932039,5.004854368932039,15.014563106796116
