Nation,Gold,Silver,Bronze,Total
United States,2.6159654800431507,0.5159654800431499,0.61596548004315,3.747896440129451
Yugoslavia,0.19374325782092772,0.5937432578209277,0.29374325782092775,1.0812297734627832
Argentina,0.12707659115426106,0.02707659115426106,0.12707659115426106,0.2812297734627832
Spain,0.060409924487594385,0.46040992448759444,0.1604099244875944,0.6812297734627832
Australia,0.060409924487594385,0.36040992448759446,0.26040992448759437,0.6812297734627832
France,0.038187702265372166,0.3381877022653722,0.038187702265372166,0.4145631067961165
Italy,0.02707659115426106,0.22707659115426107,0.02707659115426106,0.2812297734627832
Brazil,0.060409924487594385,0.1604099244875944,0.46040992448759444,0.6812297734627832
Bulgaria,0.02707659115426106,0.12707659115426106,0.12707659115426106,0.2812297734627832
China,0.02707659115426106,0.12707659115426106,0.12707659115426106,0.2812297734627832
Serbia,0.02707659115426106,0.12707659115426106,0.12707659115426106,0.2812297734627832
Canada,0.015965480043149946,0.11596548004314995,0.015965480043149946,0.14789644012944986
Croatia,0.015965480043149946,0.11596548004314995,0.015965480043149946,0.14789644012944986
South Korea,0.015965480043149946,0.11596548004314995,0.015965480043149946,0.14789644012944986
Lithuania,0.038187702265372166,0.038187702265372166,0.3381877022653722,0.4145631067961165
Russia,0.6826321467098166,0.5826321467098167,0.8826321467098166,2.1478964401294496
Uruguay,0.02707659115426106,0.02707659115426106,0.22707659115426107,0.2812297734627832
Cuba,0.015965480043149946,0.015965480043149946,0.11596548004314995,0.14789644012944986
Mexico,0.015965480043149946,0.015965480043149946,0.11596548004314995,0.14789644012944986
Totals,4.004854368932039,4.004854368932039,4.004854368932039,12.014563106796116
