Nation,Gold,Silver,Bronze,Total
United States,2.506314149461587,1.2727721270749428,2.2924046578997253,6.071490934436255
Cuba,1.843926149864285,0.9903879218240649,1.0030146159504936,3.8373286876388435
Great Britain,0.9211938434110482,0.6855649304912986,1.4184527921372656,3.025211566039612
Italy,0.7688229584820236,0.7716687182998951,0.9755304721872801,2.5160221489691987
Russia,1.2354493553409787,1.2878113359898118,1.934578668465777,4.4578393597965675
Hungary,0.5021864941711408,0.12161354786114272,0.45940459585876847,1.083204637891052
Poland,0.43126129533896523,0.48058779884873576,1.4588867924904216,2.3707358866781227
Argentina,0.3635576811237231,0.3648857023720631,0.5719850701380196,1.3004284536338058
Kazakhstan,0.3614435162188605,0.3627715374672005,0.461518760763631,1.185733814449692
France,0.31805279840953804,0.4626173971574038,0.6282753072776451,1.408945502844587
South Africa,0.31065322124251904,0.2161739952891895,0.5125235856411001,1.0393508021728086
Germany,0.5794038504582645,0.7249170358120873,1.301643988048289,2.6059648743186408
Bulgaria,0.2143580435519925,0.26292567777699727,0.5114665031886688,0.9887502245176586
Thailand,0.21012971374226735,0.21088858302703306,0.34470995667465476,0.7657282534439551
Ukraine,0.21012971374226735,0.163079818086794,0.39888602890941777,0.7720955607384792
Uzbekistan,0.21012971374226735,0.11527105314655497,0.4530621011441807,0.778462868033003
South Korea,0.16885316083780746,0.36065737256233793,0.5677567403282945,1.09726727372844
Canada,0.16568191348051362,0.357486125205044,0.4020572762667116,0.9252253149522692
China,0.16039650121835716,0.16096565318193143,0.34259579176979216,0.6639579461700807
Yugoslavia,0.15933941876592586,0.1120998057892611,0.3415387093173609,0.6129779338725478
Ireland,0.1170057834090347,0.2608115128721347,0.5093523382838062,0.8871696345649757
Mexico,0.11383453605174083,0.1620227356343627,0.4520050186917494,0.7278622903778529
North Korea,0.10854912378958438,0.15673732337220628,0.1758392452557781,0.44112569241756877
Finland,0.11594870095660341,0.06851937065874722,0.6708234725356639,0.8552915441510145
Japan,0.10537787643229052,0.010139781194195282,0.17266799789848422,0.28818565552497
Romania,0.07890047786186868,0.46156031470497255,0.8439225137642659,1.384383306331107
Denmark,0.06515840598026193,0.2565831830624095,0.34259579176979216,0.6643373808124636
Mongolia,0.05987299371810548,0.10787147597953595,0.22895823503810978,0.3967027047357512
Netherlands,0.05987299371810548,0.10787147597953595,0.22895823503810978,0.3967027047357512
Venezuela,0.05881591126567419,0.10681439352710466,0.1737250803509155,0.33935538514369434
Norway,0.057758828813242895,0.10575731107467337,0.11849192566372124,0.2820080655516375
Kenya,0.05987299371810548,0.060062711039296904,0.28313430727287275,0.40307001203027515
Brazil,0.057758828813242895,0.05794854613443432,0.17266799789848422,0.28837537284616144
