Nation,Gold,Silver,Bronze,Total
Germany,3.6361228055102104,2.5847953718818917,2.4314914071241827,8.652409584516285
Hungary,1.7821405046252543,2.0561818025603578,1.8409101432358346,5.679232450421447
Sweden,1.0446773777815965,0.7824354898759917,0.3134193371593984,2.1405322048169864
Romania,0.7187186757166997,0.7216685282240743,0.9801119937159979,2.420499197656772
France,0.5889251653922157,0.6579517140647821,1.3134583219942977,2.5603352014512955
Slovakia,0.5623764928258441,0.4314030414984105,0.2957202221151506,1.289499756439405
New Zealand,0.487155253887791,0.22255348397628663,0.15471207428465666,0.8644208121487342
Italy,0.4266832774866111,0.4284531889910359,0.29277036960777597,1.147906836085423
Norway,0.4237334249792365,0.29217000315032793,0.28982051710040135,1.0057239452299658
Great Britain,0.36178652232436925,0.4965947819113899,0.36032459101564834,1.2187058952514074
Spain,0.3603115960706819,0.49511985565770256,0.29277036960777597,1.1482018213361604
United States,0.3603115960706819,0.36178652232436925,0.42492895991614604,1.1470270783111973
Finland,0.351462038548558,0.15293696480224533,0.21784151693146708,0.7222405202822704
Canada,0.3057393246842512,0.7069192656872012,0.7010455505623847,1.7137041409338372
Bulgaria,0.29541484090844,0.3632614485780566,0.5585624764782033,1.2172387659647
Czech Republic,0.7732909471031303,0.643202451527909,0.4396782224530192,1.8561716210840584
Australia,0.23936764326832202,0.5735859323538677,0.8992834360249398,1.7122370116471295
Denmark,0.22461838073144885,0.4255033364836613,0.3558998122545864,1.0060215294696966
Austria,0.22461838073144885,0.35883666981699464,0.4219791074087714,1.005434157957215
Ukraine,0.21576882320932497,0.1499871122948707,0.21489166442409244,0.5806475999282881
Russia,2.226093306985136,1.235532835008735,1.225547519296547,4.687173661290418
Belarus,0.14939714179339575,0.1499871122948707,0.28097095957827745,0.5803552136665439
Yugoslavia,0.1449723630323338,0.14556233353380874,0.07830829535466044,0.36884299192080294
China,0.14054758427127184,0.007804221439413466,0.007804221439413466,0.1561560271500988
Poland,0.034352894005785145,0.5010195606724518,0.8933837310101904,1.4287561856884272
Netherlands,0.016653778961537358,0.21665377896153737,0.3470502547324625,0.5803578126555372
Cuba,0.009279147693100781,0.2092791476931008,0.009279147693100781,0.22783744307930237
Brazil,0.009279147693100781,0.14261248102643412,0.0753584428472858,0.2272500715668207
Latvia,0.007804221439413466,0.1411375547727468,0.007804221439413466,0.15674599765157377
Slovenia,0.007804221439413466,0.1411375547727468,0.007804221439413466,0.15674599765157377
Azerbaijan,0.007804221439413466,0.07447088810608013,0.07388351659359849,0.1561586261390921
Moldova,0.00632929518572615,0.07299596185239282,0.00632929518572615,0.08565455222384513
Portugal,0.00632929518572615,0.07299596185239282,0.00632929518572615,0.08565455222384513
Serbia,0.00632929518572615,0.07299596185239282,0.00632929518572615,0.08565455222384513
Switzerland,0.00632929518572615,0.07299596185239282,0.00632929518572615,0.08565455222384513
Israel,0.00632929518572615,0.00632929518572615,0.07240859033991118,0.08506718071136347
Japan,0.00632929518572615,0.00632929518572615,0.07240859033991118,0.08506718071136347
Lithuania,0.00632929518572615,0.00632929518572615,0.07240859033991118,0.08506718071136347
South Africa,0.00632929518572615,0.00632929518572615,0.07240859033991118,0.08506718071136347
Togo,0.00632929518572615,0.00632929518572615,0.07240859033991118,0.08506718071136347
Totals,16.00485436893204,16.00485436893204,16.00485436893204,48.01456310679612
