Nation,Gold,Silver,Bronze,Total
France,3.7042094238910654,2.494095316007248,2.1695699995515514,8.367874739449865
Italy,2.9625457430810704,1.4870270708818996,0.9731030202489881,5.422675834211958
Great Britain,2.9144060281051685,2.7510242853665794,2.341214158784301,8.006644472256049
Netherlands,1.6415642245706847,1.7355994942802282,1.1363906335207345,4.5135543523716475
United States,1.4756469116105255,1.918956040241231,1.6763927491019905,5.0709957009537465
Australia,1.2958020220486954,1.7383850096005624,1.670821718461322,4.705008750110579
Germany,2.2960909759201,2.655167739405577,2.510072802696716,7.4613315180223925
Denmark,0.6510245743204507,0.8285660680963842,0.9271420174634728,2.4067326598803076
Belgium,0.6496318166602836,0.6521733104362172,1.0143568547400146,2.3161619818365153
Switzerland,0.4670014117781189,0.7313167644752143,0.5629623340954675,1.7612805103488007
Russia,1.4617193350088542,0.8550284636395598,1.8396803623737368,4.15642816102215
Spain,0.4614303811374504,0.4632457338345458,0.4687837085180901,1.3934598234900863
Sweden,0.37707896699720367,0.46603124915488003,0.7373920086485508,1.5805022248006346
Colombia,0.18748477381420345,0.10071091489304161,0.27903369970316816,0.5672293884104131
Norway,0.18469925849386917,0.010425399572707359,0.18764058944612505,0.3827652475127016
Latvia,0.18330650083370204,0.009032641912540228,0.09764023684924908,0.28997937959549136
Canada,0.11148990563495957,0.46185297617437865,0.7332137356680495,1.3065566174773877
South Africa,0.10313335967395679,0.36599643021337586,0.28181921502350243,0.7509490049108352
New Zealand,0.10313335967395679,0.2784964302133759,0.37042680996021127,0.7520565998475439
China,0.10174060201378966,0.2771036725532088,0.2804264573633353,0.6592707319303337
Greece,0.09756232903328826,0.2729253995727074,0.010425399572707359,0.38091312817870304
Czech Republic,0.2774072185951186,0.2784964302133759,0.19321162008679357,0.7491152688952881
Kazakhstan,0.094776813712954,0.09513988425237309,0.007639884252373096,0.1975565822177002
Austria,0.09616957137312114,0.009032641912540228,0.1862478317859579,0.2914500450716193
Argentina,0.09338405605278688,0.006247126592205965,0.006247126592205965,0.10587830923719882
Estonia,0.09338405605278688,0.006247126592205965,0.006247126592205965,0.10587830923719882
Poland,0.020174703193877274,0.6326747031938773,0.37460508294071265,1.0274544893284672
Japan,0.010425399572707359,0.09792539957270735,0.27624818438283394,0.3845989835282486
Ukraine,0.009032641912540228,0.09653264191254023,0.1862478317859579,0.2918131156110384
Mexico,0.007639884252373096,0.09513988425237309,0.09624747918908194,0.19902724769382812
Cuba,0.006247126592205965,0.09374712659220596,0.006247126592205965,0.1062413797766179
Portugal,0.006247126592205965,0.09374712659220596,0.006247126592205965,0.1062413797766179
Uruguay,0.006247126592205965,0.09374712659220596,0.006247126592205965,0.1062413797766179
Belarus,0.006247126592205965,0.006247126592205965,0.09485472152891482,0.10734897471332674
Hong Kong,0.006247126592205965,0.006247126592205965,0.09485472152891482,0.10734897471332674
Jamaica,0.006247126592205965,0.006247126592205965,0.09485472152891482,0.10734897471332674
Lithuania,0.006247126592205965,0.006247126592205965,0.09485472152891482,0.10734897471332674
Malaysia,0.006247126592205965,0.006247126592205965,0.09485472152891482,0.10734897471332674
Venezuela,0.006247126592205965,0.006247126592205965,0.09485472152891482,0.10734897471332674
Totals,22.00485436893204,22.00485436893204,22.00485436893204,66.01456310679612
