Nation,Gold,Silver,Bronze,Total
United States,3.1913297787681048,2.9044445328664654,2.9201769495772005,9.015951261211772
China,2.4874363361451537,1.2825183033582683,0.7568704979642968,4.526825137467719
Sweden,0.40618188140531036,0.5209359797659662,0.4570808766459238,1.3841987378172003
Russia,0.5589794580268357,0.903241753108803,0.8338340323261483,2.296055243461787
Italy,0.20687682082084852,0.32163091918150427,0.20410051198954232,0.732608251991895
Australia,0.21231160342954417,0.21231160342954417,0.4353417462111412,0.8599649530702296
Germany,0.49345023493346435,0.7229584316547759,0.8821334713163305,2.0985421379045706
Mexico,0.10027489637323628,0.4445371914552035,0.3816075246122632,0.9264196124407029
Canada,0.09755750506888844,0.26968865260987207,0.491793359114367,0.8590395167931275
Great Britain,0.08940533115584497,0.2041594295165007,0.3707379593948719,0.6643027200672176
Denmark,0.06766620072106236,0.010289151540734487,0.0667407644439603,0.14469611670575713
Greece,0.06494880941671453,0.0075717602363866605,0.0075717602363866605,0.08009232988948785
Egypt,0.010289151540734487,0.06766620072106236,0.0667407644439603,0.14469611670575713
Malaysia,0.010289151540734487,0.06766620072106236,0.0667407644439603,0.14469611670575713
France,0.0075717602363866605,0.06494880941671453,0.0075717602363866605,0.08009232988948785
Ukraine,0.010289151540734487,0.010289151540734487,0.12319237734718609,0.14377068042865507
Totals,8.004854368932039,8.004854368932039,8.004854368932039,24.014563106796118
