Nation,Gold,Silver,Bronze,Total
Germany,1.6302753793570588,1.0206780801045872,1.1671865012608957,3.818139960722542
Sweden,0.6910612654837629,0.5244347885124584,0.5978121154109121,1.8133081694071334
France,0.573659501249601,0.5454463351054004,0.4430135566162839,1.5621193929712853
United States,0.5050949463177645,0.8600503357559126,0.8300099536028545,2.1951552356765314
Great Britain,0.46556006259683436,0.47086510238463275,0.5439961966424876,1.4804213616239545
Netherlands,0.41014707141800516,0.5198649397565632,0.17095328802801002,1.1009652992025785
Italy,0.29972205136988966,0.3730280557103768,0.30482161426449866,0.977571721344765
Australia,0.2396578974003628,0.13765645057132977,0.13839514849312629,0.5157094964648189
Switzerland,0.23075653412851038,0.4079930906754118,0.34003288187013253,0.9787825066740548
Belgium,0.1706923801589835,0.10269141560629481,0.2440289513100277,0.517412747075306
New Zealand,0.12923287735224734,0.09571467142024831,0.16662967191271358,0.3915772206852092
Canada,0.09009895594086001,0.09106350862955062,0.1267672415163821,0.3079297060867927
Mexico,0.09009895594086001,0.05609847366451566,0.16197850912201592,0.3081759387273916
Poland,0.05329061592482151,0.12370296219923675,0.08923039251539946,0.2662239706394577
Spain,0.048639453134123836,0.08408676444350412,0.049367962119067986,0.18209417969669595
Austria,0.046313871738775,0.04679614808312031,0.04704238072371915,0.14015240054561445
Brazil,0.046313871738775,0.011831113118085346,0.08225364832935295,0.1403986331862133
Japan,0.041662708948077325,0.007179950327387672,0.007179950327387672,0.056022609602852665
Denmark,0.018807857304131856,0.1586679971642717,0.08923039251539946,0.2667062469838031
Chile,0.009505531722736509,0.07943560165280644,0.009505531722736509,0.09844666509827946
Romania,0.009505531722736509,0.044470566687771475,0.04471679932837031,0.0986928977388783
Argentina,0.007179950327387672,0.04214498529242264,0.007179950327387672,0.05650488594719798
Bulgaria,0.007179950327387672,0.04214498529242264,0.007179950327387672,0.05650488594719798
Norway,0.007179950327387672,0.04214498529242264,0.007179950327387672,0.05650488594719798
Portugal,0.011831113118085346,0.011831113118085346,0.11746491593498676,0.14112714217115746
Saudi Arabia,0.009505531722736509,0.009505531722736509,0.07992806693400412,0.09893913037947713
Hungary,0.007179950327387672,0.007179950327387672,0.042391217933021474,0.056751118587796814
Ireland,0.007179950327387672,0.007179950327387672,0.042391217933021474,0.056751118587796814
Totals,6.004854368932039,6.004854368932039,6.004854368932039,18.014563106796118
