Nation,Gold,Silver,Bronze,Total
Italy,2.7574549953356264,2.444658786804821,1.9397947309305372,7.141908513070985
France,2.3814325830058407,2.3292998815840398,2.0339643864480954,6.7446968510379754
Hungary,2.071640708226471,1.341782888321258,1.5637833871987834,4.9772069837465125
Russia,1.7998836987402873,1.2785566845222776,1.5000583058742358,4.578498689136801
Germany,0.7491405016785256,0.9576713073657294,0.7029943305635343,2.4098061396077894
Cuba,0.29087445290316716,0.29087445290316716,0.34600041947837296,0.9277493252847073
Poland,0.24825046780466262,0.5089139749136673,0.5134038726437746,1.2705683153621046
China,0.2355721793736008,0.39197028363900366,0.18493611052850226,0.8124785735411068
Romania,0.23874175148136625,0.29087445290316716,0.39863199842574143,0.9282482028102748
South Korea,0.23081782121195263,0.12655241836835074,0.2854449102615909,0.6428151498418943
Belgium,0.17710033373626893,0.17710033373626893,0.23122854526033976,0.5854292127328776
United States,0.14873942312270888,0.5136683330753156,0.7813161255422649,1.4437238817402893
Sweden,0.12021327415281982,0.17234597557462075,0.12121102920395475,0.41377027893139534
Ukraine,0.11862848809893708,0.06649578667713614,0.17225782209744045,0.3573820968735137
Greece,0.11545891599117164,0.0633262145693707,0.06382509209493815,0.2426102226554805
Great Britain,0.07125014483878432,0.43617905479139096,0.01911744341698337,0.5265466430471587
Switzerland,0.0696653587849016,0.22606346305030445,0.1754273942052059,0.4711562160404119
Denmark,0.06649578667713614,0.11862848809893708,0.17225782209744045,0.3573820968735137
Austria,0.06808057273101886,0.06808057273101886,0.27910576604606,0.41526691150809775
Mixed team,0.058571856407722514,0.00643915498592156,0.00643915498592156,0.07145016637956562
Venezuela,0.058571856407722514,0.00643915498592156,0.00643915498592156,0.07145016637956562
Japan,0.008023941039804286,0.1122893438834062,0.008023941039804286,0.12833722596301478
Egypt,0.00643915498592156,0.058571856407722514,0.00643915498592156,0.07145016637956562
Mexico,0.00643915498592156,0.058571856407722514,0.00643915498592156,0.07145016637956562
Norway,0.00643915498592156,0.058571856407722514,0.00643915498592156,0.07145016637956562
Netherlands,0.012778299201452464,0.012778299201452464,0.27593619393829455,0.30149279234119947
Bohemia,0.008023941039804286,0.008023941039804286,0.11328709893454111,0.1293349810141497
Argentina,0.00643915498592156,0.00643915498592156,0.05907073393328997,0.0719490439051331
Portugal,0.00643915498592156,0.00643915498592156,0.05907073393328997,0.0719490439051331
Spain,0.00643915498592156,0.00643915498592156,0.05907073393328997,0.0719490439051331
Tunisia,0.00643915498592156,0.00643915498592156,0.05907073393328997,0.0719490439051331
Totals,12.004854368932039,12.004854368932039,12.004854368932039,36.01456310679612
