Nation,Gold,Silver,Bronze,Total
India,0.35727861135628125,0.14515739923506915,0.17367789834380354,0.6761139089351539
Netherlands,0.32636952044719036,0.35667255075022064,0.351324957167333,1.034367028364744
Australia,0.24606649014416004,0.21576345984112974,0.2719131924614506,0.7337431424467404
Great Britain,0.24606649014416004,0.18546042953809944,0.301324957167333,0.7328518768495924
Germany,0.30636952044719035,0.30636952044719035,0.3019131924614506,0.9146522333558313
Pakistan,0.17576345984112973,0.17576345984112973,0.14367789834380354,0.495204818026063
Spain,0.08515739923506914,0.14576345984112976,0.08426613363792118,0.3151869927141201
Argentina,0.08515739923506914,0.11546042953809944,0.11367789834380354,0.3142957271169721
New Zealand,0.04515739923506914,0.014854368932038835,0.014854368932038835,0.0748661370991468
Zimbabwe,0.04515739923506914,0.014854368932038835,0.014854368932038835,0.0748661370991468
South Korea,0.03485436893203883,0.12576345984112974,0.03485436893203883,0.1954721977052074
Belgium,0.024854368932038837,0.05515739923506914,0.05426613363792118,0.13427790180502916
China,0.014854368932038835,0.04515739923506914,0.014854368932038835,0.0748661370991468
Denmark,0.014854368932038835,0.04515739923506914,0.014854368932038835,0.0748661370991468
Japan,0.014854368932038835,0.04515739923506914,0.014854368932038835,0.0748661370991468
United States,0.024854368932038837,0.024854368932038837,0.08367789834380354,0.13338663620788122
Totals,2.004854368932039,2.004854368932039,2.004854368932039,6.014563106796118
