Nation,Gold,Silver,Bronze,Total
United States,0.20201931738564707,0.13951931738564707,0.10732234768867738,0.4488609824599715
Hungary,0.15015076068461614,0.08765076068461615,0.08670379098764645,0.32450531235687874
Great Britain,0.12953220398358523,0.035782203983585226,0.035782203983585226,0.20109661195075568
Argentina,0.10859148233410068,0.10859148233410068,0.04609148233410069,0.26327444700230207
Uruguay,0.08797292563306976,0.025472925633069764,0.025472925633069764,0.13891877689920928
Brazil,0.11857859573616254,0.24357859573616253,0.14793465634222314,0.5100918478145482
Yugoslavia,0.08765076068461615,0.15015076068461614,0.08670379098764645,0.32450531235687874
Poland,0.06703220398358523,0.09828220398358523,0.035782203983585226,0.20109661195075568
Spain,0.06703220398358523,0.09828220398358523,0.035782203983585226,0.20109661195075568
Germany,0.17044715243719347,0.17044715243719347,0.2897653342553753,0.6306596391297623
Sweden,0.07734148233410068,0.07734148233410068,0.10669754294016129,0.2613805076083626
Nigeria,0.06703220398358523,0.06703220398358523,0.06608523428661553,0.20014964225378598
France,0.05672292563306976,0.05672292563306976,0.025472925633069764,0.13891877689920928
Canada,0.06703220398358523,0.035782203983585226,0.09638826458964583,0.19920267255681628
Italy,0.06703220398358523,0.035782203983585226,0.09638826458964583,0.19920267255681628
Norway,0.06703220398358523,0.035782203983585226,0.09638826458964583,0.19920267255681628
Belgium,0.05672292563306976,0.025472925633069764,0.05577595593610006,0.13797180720223956
Cameroon,0.046413647282554295,0.015163647282554298,0.015163647282554298,0.07674094184766289
Mexico,0.046413647282554295,0.015163647282554298,0.015163647282554298,0.07674094184766289
Denmark,0.04609148233410069,0.13984148233410068,0.07639451263713098,0.26232747730533235
Bulgaria,0.025472925633069764,0.05672292563306976,0.05577595593610006,0.13797180720223956
Japan,0.025472925633069764,0.05672292563306976,0.05577595593610006,0.13797180720223956
Austria,0.015163647282554298,0.046413647282554295,0.015163647282554298,0.07674094184766289
China,0.015163647282554298,0.046413647282554295,0.015163647282554298,0.07674094184766289
Paraguay,0.015163647282554298,0.046413647282554295,0.015163647282554298,0.07674094184766289
Switzerland,0.015163647282554298,0.046413647282554295,0.015163647282554298,0.07674094184766289
Netherlands,0.035782203983585226,0.035782203983585226,0.12669129489267614,0.1982557028598466
Chile,0.015163647282554298,0.015163647282554298,0.0454666775855846,0.0757939721506932
Ghana,0.015163647282554298,0.015163647282554298,0.0454666775855846,0.0757939721506932
South Korea,0.015163647282554298,0.015163647282554298,0.0454666775855846,0.0757939721506932
Totals,2.004854368932039,2.004854368932039,2.004854368932039,6.014563106796118
