Nation,Gold,Silver,Bronze,Total
United States,1.850994858276948,2.195058450564692,1.8380634786628878,5.884116787504528
Japan,1.553988807237748,1.7337562153849055,1.7735500211059518,5.061295043728605
China,1.4362566314945224,1.1151945049864607,1.2077115117891817,3.7591626482701646
Romania,1.2474589466747381,1.1142421240340796,1.3545852177933224,3.7162862885021397
Russia,5.191031690689471,4.869421910234274,3.709367826488975,13.769821427412719
Switzerland,0.8029022510683187,0.9932119976978309,0.7413761080624736,2.537490356828623
Hungary,0.7473694965300393,0.5881391114004547,0.732804679491045,2.068313287421539
Germany,1.0672326904263825,1.320111900516101,1.7564071639630947,4.143751754905578
Italy,0.690884361039379,0.33080189079792804,0.5261794206918732,1.5478656725291802
Finland,0.4043545004763692,0.2764773038202798,0.6199682405676497,1.3008000448642987
Ukraine,0.35167888879523274,0.22120033589025068,0.4171525055780016,0.9900317302634851
Greece,0.25013718924248346,0.16401860605545962,0.16315664636475105,0.5773124416626941
Yugoslavia,0.25013718924248346,0.11445592383971619,0.21243200868359163,0.5770251217657913
Sweden,0.24728004638534057,0.11159878098257334,0.06174877886992704,0.4206276062378409
Canada,0.2012711013708707,0.1621138441506977,0.11197652214114857,0.475361467662717
France,0.16669072778497226,0.5214335720418541,0.469285010753985,1.1574093105808114
Spain,0.15240501349925797,0.1602090822459358,0.06079639791754608,0.3734104936627399
Netherlands,0.14859548968973418,0.007711511789181691,0.007711511789181691,0.16401851326809758
North Korea,0.14859548968973418,0.007711511789181691,0.007711511789181691,0.16401851326809758
Great Britain,0.11306273515145478,0.2173908120807269,0.46261834408731833,0.7930718913195001
Bulgaria,0.11211035419907382,0.21643843112834593,0.4123906008160968,0.7409393861435165
Belarus,0.06229188537508014,0.21358128827120307,0.3109827333212728,0.5868559069675561
South Korea,0.06038712347031823,0.21167652636644116,0.21052724677882972,0.4825908966155891
Brazil,0.05562521870841347,0.10778925717304952,0.057939255060403226,0.22135373094186622
Denmark,0.05562521870841347,0.10778925717304952,0.057939255060403226,0.22135373094186622
Norway,0.05562521870841347,0.10778925717304952,0.057939255060403226,0.22135373094186622
Poland,0.05562521870841347,0.058226574957306085,0.1072146173792438,0.22106641104496336
Latvia,0.05372045680365156,0.056321813052544176,0.006759130836800739,0.11680140069299648
Belgium,0.006759130836800739,0.056321813052544176,0.05603449315564132,0.11911543704498623
Australia,0.005806749884419787,0.05536943210016323,0.005806749884419787,0.06698293186900281
Croatia,0.005806749884419787,0.05536943210016323,0.005806749884419787,0.06698293186900281
Uzbekistan,0.006759130836800739,0.006759130836800739,0.1053098554744819,0.11882811714808339
Totals,18.00485436893204,18.00485436893204,18.00485436893204,54.01456310679612
