Nation,Gold,Silver,Bronze,Total
Denmark,0.22707659115426104,0.060409924487594385,0.060409924487594385,0.34789644012944987
Yugoslavia,0.19929881337648328,0.11596548004314994,0.11596548004314994,0.4312297734627832
South Korea,0.18540992448759439,0.26874325782092773,0.14374325782092773,0.5978964401294498
Norway,0.1715210355987055,0.1715210355987055,0.1715210355987055,0.5145631067961165
France,0.15763214670981662,0.15763214670981662,0.11596548004314994,0.4312297734627832
Russia,0.4631877022653722,0.25485436893203883,0.29652103559870546,1.0145631067961165
Croatia,0.12985436893203883,0.0465210355987055,0.08818770226537216,0.2645631067961165
Germany,0.18540992448759439,0.22707659115426104,0.18540992448759439,0.5978964401294499
Sweden,0.060409924487594385,0.22707659115426104,0.060409924487594385,0.34789644012944987
Romania,0.060409924487594385,0.10207659115426104,0.18540992448759439,0.3478964401294498
Hungary,0.0465210355987055,0.08818770226537216,0.12985436893203883,0.2645631067961165
Austria,0.01874325782092772,0.060409924487594385,0.01874325782092772,0.09789644012944984
Iceland,0.01874325782092772,0.060409924487594385,0.01874325782092772,0.09789644012944984
Montenegro,0.01874325782092772,0.060409924487594385,0.01874325782092772,0.09789644012944984
Spain,0.060409924487594385,0.060409924487594385,0.22707659115426104,0.3478964401294498
China,0.01874325782092772,0.01874325782092772,0.060409924487594385,0.09789644012944983
Poland,0.01874325782092772,0.01874325782092772,0.060409924487594385,0.09789644012944983
Switzerland,0.01874325782092772,0.01874325782092772,0.060409924487594385,0.09789644012944983
Ukraine,0.01874325782092772,0.01874325782092772,0.060409924487594385,0.09789644012944983
Totals,2.004854368932039,2.004854368932039,2.004854368932039,6.014563106796118
