Nation,Gold,Silver,Bronze,Total
Japan,4.143820728237607,2.1143016213247696,2.815353574952936,9.073475924515312
France,1.5250908279186814,1.1238456583179943,2.6491784191595573,5.298114905396233
South Korea,1.207552563463591,1.730523795752127,1.7185014685730802,4.656577827788798
China,0.8625919955350092,0.3538972767715915,1.1691613386007027,2.3856506109073035
Cuba,0.6838065833998059,1.5118443678566544,1.7057043936187841,3.9013553448752445
Russia,1.309742344485489,1.0099355604580094,2.331640154704467,4.6513180596479655
Italy,0.44103579649312186,0.44404137828788354,0.7476051395588152,1.6326823143398206
Brazil,0.453832871447418,0.3538972767715915,1.5779204626882941,2.3856506109073035
Netherlands,0.4556610250123175,0.2527842538659027,1.784128178296989,2.4925734571752094
Poland,0.3260489405169279,0.3283031268629992,0.22385915949503007,0.8782112268749571
Germany,0.5834449559428075,0.9989666390686127,2.422861014336968,4.005272609348388
Georgia,0.3260489405169279,0.22536195039241091,0.3260489405169279,0.8774598314262667
Spain,0.322392633387129,0.11876446679202377,0.22020285236523116,0.661359952544384
United States,0.23482808088442678,0.4422132247229841,0.8479667670158136,1.5250080726232245
North Korea,0.22385915949503007,0.22536195039241091,0.4282387215388257,0.8774598314262667
Austria,0.21837469880033172,0.21987748969771256,0.1161849177784339,0.5544371062764781
Belgium,0.23117177375462789,0.1297333881814205,0.9465002409079125,1.307405402843961
Slovenia,0.21837469880033172,0.013995136756536092,0.3205644798222295,0.5529343153790973
Hungary,0.12349753203803171,0.33013128042789863,0.5322566561256229,0.9858854685915532
Mongolia,0.12166937847313225,0.3283031268629992,0.4282387215388257,0.8782112268749571
Romania,0.11801307134333336,0.221705643262612,0.322392633387129,0.6621113479930744
Azerbaijan,0.11435676421353445,0.2180493361328131,0.11435676421353445,0.446762864559882
Switzerland,0.11435676421353445,0.11510815966222487,0.21654654523543226,0.4460114691111916
Argentina,0.11070045708373555,0.008510676061837738,0.11070045708373555,0.22991159022930885
Belarus,0.11070045708373555,0.008510676061837738,0.11070045708373555,0.22991159022930885
Greece,0.11070045708373555,0.008510676061837738,0.11070045708373555,0.22991159022930885
Turkey,0.11070045708373555,0.008510676061837738,0.11070045708373555,0.22991159022930885
Czech Republic,0.11070045708373555,0.008510676061837738,0.11070045708373555,0.22991159022930885
Kosovo,0.10887230351883609,0.006682522496938286,0.006682522496938286,0.12223734851271267
Great Britain,0.03958928666512841,0.8631186984298342,1.1636768779060043,2.066384863000967
Uzbekistan,0.01582329032143554,0.221705643262612,0.4245824144090268,0.6621113479930743
Canada,0.013995136756536092,0.21987748969771256,0.3205644798222295,0.5544371062764781
Kazakhstan,0.010338829626737189,0.21622118256791364,0.112528610648635,0.33908862284328584
Israel,0.013995136756536092,0.11693631322712432,0.4227542608441273,0.5536857108277877
Bulgaria,0.010338829626737189,0.11328000609732541,0.2147183916705328,0.3383372273945954
Ukraine,0.010338829626737189,0.11328000609732541,0.2147183916705328,0.3383372273945954
Algeria,0.008510676061837738,0.11145185253242597,0.11070045708373555,0.23066298567799925
Colombia,0.008510676061837738,0.11145185253242597,0.11070045708373555,0.23066298567799925
Egypt,0.008510676061837738,0.11145185253242597,0.11070045708373555,0.23066298567799925
Slovakia,0.006682522496938286,0.10962369896752651,0.006682522496938286,0.1229887439614031
Estonia,0.010338829626737189,0.010338829626737189,0.31690817269243066,0.337585831945905
Australia,0.008510676061837738,0.008510676061837738,0.21289023810563334,0.22991159022930882
Portugal,0.008510676061837738,0.008510676061837738,0.21289023810563334,0.22991159022930882
Yugoslavia,0.008510676061837738,0.008510676061837738,0.21289023810563334,0.22991159022930882
Iceland,0.006682522496938286,0.006682522496938286,0.10887230351883609,0.12223734851271266
Kyrgyzstan,0.006682522496938286,0.006682522496938286,0.10887230351883609,0.12223734851271266
Latvia,0.006682522496938286,0.006682522496938286,0.10887230351883609,0.12223734851271266
Tajikistan,0.006682522496938286,0.006682522496938286,0.10887230351883609,0.12223734851271266
United Arab Emirates,0.006682522496938286,0.006682522496938286,0.10887230351883609,0.12223734851271266
Totals,15.004854368932039,15.004854368932039,29.00485436893204,59.01456310679612
