Nation,Gold,Silver,Bronze,Total
Hungary,0.41318770226537216,0.38818770226537214,0.3131877022653722,1.1145631067961164
Sweden,0.40485436893203886,0.3548543689320388,0.3048543689320388,1.0645631067961165
Russia,0.41318770226537216,0.3631877022653721,0.33818770226537215,1.1145631067961164
Poland,0.11318770226537217,0.038187702265372166,0.06318770226537217,0.2145631067961165
Great Britain,0.11318770226537217,0.11318770226537217,0.13818770226537216,0.3645631067961165
Italy,0.11318770226537217,0.11318770226537217,0.13818770226537216,0.3645631067961165
Germany,0.07985436893203884,0.029854368932038834,0.054854368932038836,0.16456310679611652
Lithuania,0.06318770226537217,0.08818770226537218,0.06318770226537217,0.2145631067961165
Czech Republic,0.06318770226537217,0.06318770226537217,0.08818770226537218,0.2145631067961165
Australia,0.038187702265372166,0.013187702265372168,0.013187702265372168,0.0645631067961165
Kazakhstan,0.038187702265372166,0.013187702265372168,0.013187702265372168,0.0645631067961165
United States,0.07985436893203883,0.2298543689320388,0.15485436893203883,0.46456310679611645
Finland,0.0465210355987055,0.0715210355987055,0.1465210355987055,0.2645631067961165
France,0.029854368932038834,0.054854368932038836,0.07985436893203884,0.16456310679611652
China,0.013187702265372168,0.038187702265372166,0.013187702265372168,0.0645631067961165
Latvia,0.013187702265372168,0.038187702265372166,0.013187702265372168,0.0645631067961165
Ukraine,0.013187702265372168,0.038187702265372166,0.013187702265372168,0.0645631067961165
Belarus,0.021521035598705503,0.021521035598705503,0.0715210355987055,0.1145631067961165
Brazil,0.013187702265372168,0.013187702265372168,0.038187702265372166,0.0645631067961165
Mexico,0.013187702265372168,0.013187702265372168,0.038187702265372166,0.0645631067961165
Totals,2.004854368932039,2.004854368932039,2.004854368932039,6.014563106796118
