Nation,Gold,Silver,Bronze,Total
Great Britain,1.5018728543226172,1.1172574697072326,0.7246194328974167,3.3437497569272665
United States,1.0606938782599202,1.3316597544889544,1.1149984693743273,3.507352102123202
Norway,0.9055912289712245,0.6438792567329364,0.2305760600910249,1.7800465457951857
Spain,0.6845332172155382,0.3048339690952375,0.09689079828477579,1.0862579845955516
France,0.6660904197029733,0.5463680368226956,0.8456899612657051,2.058148417791374
Denmark,0.6564004972223532,0.5366781143420756,0.5599264191531831,1.753005030717612
Australia,0.6011359942834316,0.478232581906335,0.4988977417384306,1.5782663179281973
Sweden,0.5671893208018745,0.704262773664801,0.7904752373393247,2.0619273318060003
New Zealand,0.49254497290171256,0.41591108047834646,0.3787783714050498,1.2872344247851086
Netherlands,0.3936438740006137,0.4685426594257149,0.4339930953314301,1.2961796287577587
Brazil,0.38589193601611754,0.19763282670437665,0.48145588127331435,1.0649806439938085
Germany,0.4527843459317833,0.5308641608537035,0.6093271895911914,1.5929756963766781
Austria,0.16870989325267943,0.23088456069050475,0.07557296882741145,0.4751674227705956
Italy,0.1803378002294236,0.18988088871988051,0.4737039432888182,0.8439226322381224
Greece,0.16870989325267943,0.12562140279576792,0.1860024166801722,0.4803337127286195
Belgium,0.12119732829825403,0.2328225451866288,0.18794040117629623,0.5419602746611791
China,0.11538337480988192,0.17437701275088827,0.0716969998351634,0.3614573873959336
Finland,0.1250732972905021,0.13143535628414002,0.4126752658740657,0.6691839194487079
Mixed team,0.10763143682538581,0.008730337924286896,0.008730337924286896,0.12509211267395962
Argentina,0.07368476334382859,0.23476052968275282,0.300307833525181,0.6087531265517624
Ukraine,0.06399484086320845,0.11980744930739583,0.12497373926541973,0.308776029436024
Switzerland,0.06011887187096038,0.06329990136777934,0.06588304634679129,0.189301819585531
Croatia,0.05818088737483635,0.06136191687165531,0.008730337924286896,0.12827314217077856
Poland,0.06205685636708441,0.012606306916534958,0.17825047869567606,0.25291364197929544
Israel,0.06011887187096038,0.010668322420410927,0.12109777027317166,0.19188496456454296
Bahamas,0.05818088737483635,0.008730337924286896,0.06394506185066727,0.13085628714979053
Hong Kong,0.05624290287871232,0.0067923534281628655,0.0067923534281628655,0.06982760973503806
Canada,0.022296229397155115,0.18019096623926037,0.3535845729554373,0.5560717685918528
Portugal,0.012606306916534958,0.11786946481127179,0.1230357547692957,0.25351152649710246
Slovenia,0.010668322420410927,0.11593148031514776,0.06588304634679129,0.19248284908234997
Ireland,0.008730337924286896,0.11399349581902374,0.008730337924286896,0.13145417166759754
Russia,0.23172633417609712,0.3497136100581098,0.30999775600580115,0.891437700240008
Japan,0.008730337924286896,0.06136191687165531,0.06394506185066727,0.13403731664660948
Cuba,0.0067923534281628655,0.059423932375531285,0.0067923534281628655,0.07300863923185702
Cyprus,0.0067923534281628655,0.059423932375531285,0.0067923534281628655,0.07300863923185702
Czech Republic,0.0067923534281628655,0.059423932375531285,0.0067923534281628655,0.07300863923185702
Lithuania,0.0067923534281628655,0.059423932375531285,0.0067923534281628655,0.07300863923185702
Netherlands Antilles,0.0067923534281628655,0.059423932375531285,0.0067923534281628655,0.07300863923185702
Virgin Islands,0.0067923534281628655,0.059423932375531285,0.0067923534281628655,0.07300863923185702
Estonia,0.008730337924286896,0.008730337924286896,0.11915978577704764,0.13662046162562144
Hungary,0.0067923534281628655,0.0067923534281628655,0.062007077354543236,0.07559178421086897
Totals,10.004854368932039,10.004854368932039,10.004854368932039,30.014563106796118
