Nation,Gold,Silver,Bronze,Total
United States,16.17538738680189,11.255612076312204,8.97797264850193,36.40897211161602
Australia,3.983592643244207,4.449890822539755,4.313098096530605,12.746581562314567
Hungary,1.8516825289634997,1.6642614159860425,1.3387850738304856,4.854729018780028
Japan,1.4694598365382565,1.7330749738538656,2.1171602231733773,5.3196950335655
Netherlands,1.4569150336708732,1.2034745156902524,1.2659057428866387,3.9262952922477643
Great Britain,1.0794713137665382,1.8587546582872423,1.9845437357181799,4.922769707771961
Germany,3.658602207601108,4.059112223242015,4.697208012898586,12.414922443741709
China,0.8677506485575007,1.258548527560465,0.740218765586758,2.866517941704724
Sweden,0.6071609284779083,0.9970338420867827,0.9307802948579649,2.534975065422656
Canada,0.5493313001306505,1.0036049293030311,1.7115449304613102,3.264481159894992
France,0.5457470707399695,1.0000206999123502,1.3208639268770805,2.8666316975294004
South Africa,0.4020113504851194,0.4033987985762542,0.40270383129763027,1.208113980359004
Russia,1.5410290108831248,2.1926671310194292,2.382393198083771,6.116089339986325
Italy,0.3400001211820671,0.3411563279246795,0.7921900917516327,1.4733465408583792
Ukraine,0.2666388321418584,0.13829988371189078,0.0735520989200914,0.4784908147738406
Denmark,0.20641971753414662,0.3363773554037715,0.4003143450371763,0.9431114179750943
Romania,0.2034328597085791,0.13949462684211777,0.2682952291470926,0.6112227156977894
Ireland,0.20044600188301162,0.007243855192492836,0.0717599842247509,0.27944984130025535
Zimbabwe,0.13783740101484587,0.2675637975359482,0.0735520989200914,0.4789532974708855
Australasia,0.13843477257995937,0.20352921218903303,0.20318172854972105,0.5451457133187134
Spain,0.13843477257995937,0.13889725527700428,0.2676978575819791,0.5450298854389428
New Zealand,0.13724002944973238,0.07307055523474856,0.20198698541949406,0.412297570103975
Tunisia,0.13544791475439186,0.006646483627379336,0.0711626126596374,0.2132570110414086
Austria,0.0764235432769071,0.39981456918557323,0.33460347287469117,0.8108415853371715
Brazil,0.07761828640713411,0.27174539849174273,0.5938627321339504,0.9432264170328272
Greece,0.0740340570164531,0.26816116910106175,0.20318172854972105,0.5453769546672359
Poland,0.07283931388622611,0.20233446905880603,0.13747085638723597,0.41264463933226814
South Korea,0.0716445707559991,0.20113972592857904,0.007243855192492836,0.280028151877071
Belgium,0.0722419423211126,0.1371051405816638,0.13687348482212247,0.34622056772489884
Costa Rica,0.0716445707559991,0.07187581210452156,0.13627611325700897,0.27979649611752966
Argentina,0.0710471991908856,0.07127844053940806,0.0711626126596374,0.21348825238993108
Bulgaria,0.0710471991908856,0.07127844053940806,0.0711626126596374,0.21348825238993108
Yugoslavia,0.07044982762577211,0.07068106897429456,0.0060491120622658354,0.1471800086623325
Mexico,0.07044982762577211,0.0060491120622658354,0.0705652410945239,0.14706418078256184
Suriname,0.07044982762577211,0.0060491120622658354,0.0705652410945239,0.14706418078256184
Kazakhstan,0.0698524560606586,0.005451740497152335,0.005451740497152335,0.08075593705496326
Lithuania,0.0698524560606586,0.005451740497152335,0.005451740497152335,0.08075593705496326
Singapore,0.0698524560606586,0.005451740497152335,0.005451740497152335,0.08075593705496326
Belarus,0.006646483627379336,0.13591039745143677,0.0711626126596374,0.2137194937384535
Slovakia,0.0060491120622658354,0.13531302588632327,0.0060491120622658354,0.14741125001085492
Finland,0.007243855192492836,0.07187581210452156,0.20079224228926706,0.2799119095862814
Cuba,0.0060491120622658354,0.07068106897429456,0.0705652410945239,0.14729542213108432
Norway,0.0060491120622658354,0.07068106897429456,0.0705652410945239,0.14729542213108432
Croatia,0.005451740497152335,0.07008369740918105,0.005451740497152335,0.08098717840348571
Serbia,0.005451740497152335,0.07008369740918105,0.005451740497152335,0.08098717840348571
Slovenia,0.005451740497152335,0.07008369740918105,0.005451740497152335,0.08098717840348571
Philippines,0.0060491120622658354,0.0060491120622658354,0.13508137012678195,0.14717959425131363
Switzerland,0.005451740497152335,0.005451740497152335,0.06996786952941039,0.08087135052371507
Trinidad and Tobago,0.005451740497152335,0.005451740497152335,0.06996786952941039,0.08087135052371507
Venezuela,0.005451740497152335,0.005451740497152335,0.06996786952941039,0.08087135052371507
Totals,37.00485436893204,37.00485436893204,37.00485436893204,111.01456310679612
