Nation,Gold,Silver,Bronze,Total
China,4.034854368932039,2.6598543689320393,1.4237432578209277,8.118451995685005
South Korea,0.5598543689320388,0.5598543689320388,1.518187702265372,2.63789644012945
Sweden,0.15985436893203883,0.15985436893203883,0.14596548004314994,0.4656742179072276
Germany,0.07485436893203884,0.44985436893203884,0.5192988133764833,1.0440075512405609
Japan,0.044854368932038834,0.2948543689320388,0.267076591154261,0.6067853290183387
North Korea,0.044854368932038834,0.16985436893203884,0.3781877022653721,0.5928964401294499
Singapore,0.03485436893203883,0.15985436893203883,0.25707659115426107,0.45178532901833873
Chinese Taipei,0.024854368932038837,0.14985436893203882,0.13596548004314993,0.3106742179072276
France,0.024854368932038837,0.14985436893203882,0.13596548004314993,0.3106742179072276
Yugoslavia,0.024854368932038837,0.14985436893203882,0.13596548004314993,0.3106742179072276
Hong Kong,0.014854368932038835,0.13985436893203884,0.014854368932038835,0.16956310679611653
Denmark,0.014854368932038835,0.014854368932038835,0.12596548004314995,0.15567421790722763
Totals,5.004854368932039,5.004854368932039,5.004854368932039,15.014563106796116
