Nation,Gold,Silver,Bronze,Total
South Korea,2.236798813376484,0.48679881337648334,1.2305488133764833,3.9541464401294504
China,1.2992988133764831,0.2492988133764833,0.5117988133764833,2.0603964401294497
United States,0.41735436893203887,0.41735436893203887,1.1611043689320388,1.9958131067961165
Mexico,0.40346548004314997,0.40346548004314997,0.70971548004315,1.51664644012945
Chinese Taipei,0.4104099244875944,0.2354099244875944,1.1541599244875944,1.7999797734627832
Great Britain,0.39652103559870555,0.2215210355987055,0.7027710355987055,1.3208131067961166
Iran,0.39652103559870555,0.2215210355987055,0.7027710355987055,1.3208131067961166
Spain,0.2215210355987055,0.7465210355987055,0.2652710355987055,1.2333131067961165
Turkey,0.22846548004314995,0.57846548004315,0.70971548004315,1.51664644012945
Greece,0.2076321467098166,0.5576321467098166,0.03263214670981661,0.7978964401294498
Cuba,0.2145765911542611,0.3895765911542611,0.47707659115426104,1.0812297734627832
Italy,0.2006877022653722,0.2006877022653722,0.24443770226537218,0.6458131067961166
Australia,0.19374325782092774,0.19374325782092774,0.01874325782092772,0.4062297734627832
Serbia,0.19374325782092774,0.19374325782092774,0.01874325782092772,0.4062297734627832
Azerbaijan,0.2006877022653722,0.02568770226537217,0.46318770226537215,0.6895631067961165
Ivory Coast,0.19374325782092774,0.01874325782092772,0.23749325782092773,0.4499797734627832
Argentina,0.1867988133764833,0.011798813376483279,0.011798813376483279,0.21039644012944986
Jordan,0.1867988133764833,0.011798813376483279,0.011798813376483279,0.21039644012944986
France,0.053465480043149945,0.57846548004315,0.92846548004315,1.5603964401294501
Thailand,0.03957659115426106,0.3895765911542611,0.695826591154261,1.124979773462783
Russia,0.03263214670981661,0.38263214670981666,0.4701321467098166,0.8853964401294498
Norway,0.01874325782092772,0.36874325782092776,0.01874325782092772,0.4062297734627832
Canada,0.01874325782092772,0.19374325782092774,0.23749325782092773,0.4499797734627832
Dominican Republic,0.01874325782092772,0.19374325782092774,0.23749325782092773,0.4499797734627832
Germany,0.01874325782092772,0.19374325782092774,0.23749325782092773,0.4499797734627832
Gabon,0.011798813376483279,0.1867988133764833,0.011798813376483279,0.21039644012944986
Niger,0.011798813376483279,0.1867988133764833,0.011798813376483279,0.21039644012944986
Vietnam,0.011798813376483279,0.1867988133764833,0.011798813376483279,0.21039644012944986
Croatia,0.02568770226537217,0.02568770226537217,0.6819377022653722,0.7333131067961165
Afghanistan,0.01874325782092772,0.01874325782092772,0.45624325782092773,0.4937297734627832
Brazil,0.01874325782092772,0.01874325782092772,0.45624325782092773,0.4937297734627832
Egypt,0.01874325782092772,0.01874325782092772,0.45624325782092773,0.4937297734627832
Venezuela,0.01874325782092772,0.01874325782092772,0.45624325782092773,0.4937297734627832
Colombia,0.011798813376483279,0.011798813376483279,0.23054881337648328,0.2541464401294498
Japan,0.011798813376483279,0.011798813376483279,0.23054881337648328,0.2541464401294498
Kazakhstan,0.011798813376483279,0.011798813376483279,0.23054881337648328,0.2541464401294498
Nigeria,0.011798813376483279,0.011798813376483279,0.23054881337648328,0.2541464401294498
Tunisia,0.011798813376483279,0.011798813376483279,0.23054881337648328,0.2541464401294498
Totals,8.004854368932039,8.004854368932039,15.004854368932039,31.014563106796118
