Nation,Gold,Silver,Bronze,Total
United States,1.4589769904965209,0.5444586729931287,0.7716155714277847,2.7750512349174343
Great Britain,1.235157399235069,1.0406752644544268,0.7902202225905754,3.066052886280071
France,0.3962567649855977,0.45143541717917524,0.48347036439431906,1.331162546559092
Russia,0.2331841786571974,0.23047047445095586,0.24648794805852778,0.710142601166681
South Africa,0.2145795274944067,0.15216433075085173,0.08154183348110293,0.4482856917263614
Spain,0.18188044363253214,0.47857877018160494,0.20700978583504506,0.8674689996491821
Germany,0.24248650423859275,0.4188772776442915,0.20700978583504506,0.8683735677179293
Switzerland,0.14467114130695075,0.1428620051694564,0.02345902009482953,0.3109921665712367
Chile,0.14467114130695075,0.08316051263214297,0.07223950789970758,0.3000711618388013
Mixed team,0.09801856907298316,0.21651698607886283,0.18375397188155668,0.4982895270334027
Australia,0.08871624349158781,0.08781167542284063,0.17445164630016136,0.3509795652145898
Belarus,0.07476275511949479,0.014156694513434183,0.06293718231831223,0.15185663195124122
Belgium,0.07476275511949479,0.014156694513434183,0.06293718231831223,0.15185663195124122
China,0.07476275511949479,0.014156694513434183,0.06293718231831223,0.15185663195124122
Canada,0.07011159232879711,0.009505531722736509,0.009505531722736509,0.08912265577427013
Puerto Rico,0.07011159232879711,0.009505531722736509,0.009505531722736509,0.08912265577427013
Sweden,0.04206367125762023,0.22116814886956052,0.28596611028201047,0.5491979304091912
Czech Republic,0.11662322023577386,0.29482312977896696,0.34870008645898154,0.7601464364737224
Argentina,0.03276134567622488,0.15216433075085173,0.22788329689573708,0.4128089733228137
Japan,0.018807857304131856,0.13821084237875872,0.0675883451090099,0.22460704479190047
Greece,0.014156694513434183,0.07385818705074762,0.06293718231831223,0.15095206388249405
Netherlands,0.014156694513434183,0.07385818705074762,0.06293718231831223,0.15095206388249405
Austria,0.009505531722736509,0.06920702426004993,0.009505531722736509,0.08821808770552295
Denmark,0.009505531722736509,0.06920702426004993,0.009505531722736509,0.08821808770552295
Romania,0.009505531722736509,0.06920702426004993,0.009505531722736509,0.08821808770552295
Croatia,0.018807857304131856,0.018807857304131856,0.16514932071876598,0.2027650353270297
Australasia,0.009505531722736509,0.009505531722736509,0.05828601952761456,0.07729708297308757
Bohemia,0.009505531722736509,0.009505531722736509,0.05828601952761456,0.07729708297308757
Bulgaria,0.009505531722736509,0.009505531722736509,0.05828601952761456,0.07729708297308757
Hungary,0.009505531722736509,0.009505531722736509,0.05828601952761456,0.07729708297308757
India,0.009505531722736509,0.009505531722736509,0.05828601952761456,0.07729708297308757
Italy,0.009505531722736509,0.009505531722736509,0.05828601952761456,0.07729708297308757
Norway,0.009505531722736509,0.009505531722736509,0.05828601952761456,0.07729708297308757
Serbia,0.009505531722736509,0.009505531722736509,0.05828601952761456,0.07729708297308757
Totals,5.004854368932039,5.004854368932039,5.004854368932039,15.014563106796116
