Nation,Gold,Silver,Bronze,Total
Brazil,0.6596162736939436,0.4453305594082293,0.33818770226537215,1.443134535367545
United States,0.4453305594082293,0.4453305594082293,0.5524734165510864,1.443134535367545
Japan,0.4334257975034674,0.4334257975034674,0.4334257975034674,1.300277392510402
China,0.3977115117891816,0.18342579750346738,0.29056865464632453,0.8717059639389736
Cuba,0.38580674988441976,0.06437817845584835,0.2786638927415626,0.7288488210818307
Russia,1.088187702265372,1.088187702265372,0.5524734165510864,2.7288488210818307
Netherlands,0.13580674988441976,0.13580674988441976,0.02866389274156264,0.3002773925104022
Poland,0.14771151178918168,0.040568654646324545,0.25485436893203883,0.44313453536754505
FR Yugoslavia / Serbia and Montenegro,0.13580674988441976,0.02866389274156264,0.13580674988441976,0.3002773925104022
Italy,0.07628294036061026,0.3977115117891816,0.3977115117891816,0.8717059639389735
Bulgaria,0.02866389274156264,0.13580674988441976,0.13580674988441976,0.3002773925104022
Peru,0.016759130836800737,0.12390198797965787,0.016759130836800737,0.15742024965325935
Serbia,0.016759130836800737,0.12390198797965787,0.016759130836800737,0.15742024965325935
Argentina,0.016759130836800737,0.016759130836800737,0.12390198797965787,0.15742024965325935
North Korea,0.016759130836800737,0.016759130836800737,0.12390198797965787,0.15742024965325935
Romania,0.016759130836800737,0.016759130836800737,0.12390198797965787,0.15742024965325935
South Korea,0.016759130836800737,0.016759130836800737,0.12390198797965787,0.15742024965325935
Totals,4.004854368932039,4.004854368932039,4.004854368932039,12.014563106796116
