Nation,Gold,Silver,Bronze,Total
Hungary,0.45475141766230653,0.2612030305655323,0.2581788370171452,0.974133285244984
Italy,0.2402696057199592,0.2080115412038302,0.20498734765544308,0.6532684945792324
Great Britain,0.17643981848591667,0.047407560421400534,0.047407560421400534,0.27125493932871775
Yugoslavia,0.18673494545914932,0.21899300997527837,0.12121075191076223,0.5269387073451899
United States,0.18639177456004158,0.28316596810842865,0.24687564552778352,0.7164333881962537
Croatia,0.06902732706518913,0.10128539158131816,0.03676926254906011,0.2070819811955674
Germany,0.07966562493752957,0.1119236894536586,0.07865756042140054,0.2702468748125887
Spain,0.06902732706518913,0.10128539158131816,0.03676926254906011,0.2070819811955674
France,0.07966562493752957,0.047407560421400534,0.14115756042140054,0.2682307457803307
Australia,0.06902732706518913,0.03676926254906011,0.0992692625490601,0.20506585216330933
Netherlands,0.06902732706518913,0.03676926254906011,0.0992692625490601,0.20506585216330933
Serbia,0.06902732706518913,0.03676926254906011,0.0992692625490601,0.20506585216330933
Belgium,0.06868415616608138,0.1977164142305975,0.13118415616608137,0.3975847265627602
Russia,0.197030072432382,0.22928813694851102,0.3512639434001239,0.7775821527810169
Sweden,0.03676926254906011,0.06902732706518913,0.0992692625490601,0.20506585216330933
Greece,0.01549266680437926,0.04775073132050829,0.01549266680437926,0.07873606492926681
Serbia and Montenegro,0.01549266680437926,0.04775073132050829,0.01549266680437926,0.07873606492926681
Totals,2.004854368932039,2.004854368932039,2.004854368932039,6.014563106796118
