Nation,Gold,Silver,Bronze,Total
China,1.9640453440698578,1.0181981679901235,0.5801927771545441,3.5624362892145256
United States,1.0413700127566528,1.064404342767727,0.8097772088953101,2.9155515644196903
Bulgaria,0.7885205366513628,1.115320093683478,0.5535051790383746,2.4573458093732152
Iran,0.578867730985268,0.3442054939974496,0.3412854580585458,1.2643586830412634
France,0.5725882961344047,0.21411653533706237,0.21236451377372006,0.9990693452451871
Turkey,0.5058437450044714,0.08402757667667515,0.1447643242058755,0.734635645887022
Germany,0.6086950465268692,0.8692709047771461,1.0456410754869394,2.5236070267909545
Poland,0.42102026283879657,0.4296581365929494,1.4072861689379628,2.257964568369709
Greece,0.3911929472971953,0.3379260591465862,0.2736852684907012,1.0028042749344825
North Korea,0.3338675484435572,0.5267800622863036,0.2768249859161329,1.1374725966459938
Italy,0.3291579723054096,0.2744514385291084,0.3334361644949665,0.9370455753294845
Egypt,0.3291579723054096,0.21254667662434654,0.3947569192119476,0.9364615681417037
Thailand,0.3291579723054096,0.15064191471958463,0.45607767392892873,0.9358775609539229
Russia,3.0468973757590994,2.1255241753161314,0.6964585868165801,5.868880137891811
South Korea,0.20979759845998597,0.3998308210513481,0.3963267779246635,1.0059551974359975
Austria,0.20037844618369086,0.26660214496552914,0.1416246067804438,0.6086051979296638
Chinese Taipei,0.198808587470975,0.1412227624432895,0.2013755027847091,0.5414068526989736
Hungary,0.1571817757444955,0.5933944003292131,0.588138335639186,1.3387145117128947
Romania,0.14305304733005278,0.3935513862004847,0.20608507892285666,0.7426895124533941
Japan,0.14776262346820035,0.21254667662434654,0.578719183362891,0.9390284834554379
Kazakhstan,0.1414831886173369,0.2062672417734831,0.3271567296441031,0.674907160034923
Colombia,0.1383434711919052,0.2031275243480514,0.2013755027847091,0.5428464983246657
Cuba,0.1383434711919052,0.07931800053852758,0.3240170122186714,0.5416784839491042
Georgia,0.13363389505375764,0.07460842440038001,0.13534517192958037,0.343587491383718
Ukraine,0.13363389505375764,0.07460842440038001,0.13534517192958037,0.343587491383718
Belarus,0.07787835491283544,0.26503228625281333,0.2013755027847091,0.5442861439503579
Estonia,0.07630849620011959,0.20155766563533553,0.19980564407199322,0.4776718059074483
Great Britain,0.07630849620011959,0.20155766563533553,0.19980564407199322,0.4776718059074483
Belgium,0.07159892006197202,0.13494332759242608,0.07245455849988339,0.27899680615428146
Canada,0.07159892006197202,0.13494332759242608,0.07245455849988339,0.27899680615428146
Denmark,0.07002906134925617,0.13337346887971022,0.009563945070186401,0.21296647529915277
Australia,0.07159892006197202,0.07303856568766416,0.13377531321686453,0.27841279896650073
Spain,0.07002906134925617,0.07146870697494831,0.07088469978716753,0.212382468111372
Finland,0.07002906134925617,0.009563945070186401,0.13220545450414867,0.21179846092359123
Mexico,0.07002906134925617,0.009563945070186401,0.13220545450414867,0.21179846092359123
Croatia,0.06845920263654032,0.007994086357470545,0.06931484107445168,0.14576813006846256
Uzbekistan,0.06845920263654032,0.007994086357470545,0.06931484107445168,0.14576813006846256
Norway,0.06688934392382447,0.00642422764475469,0.00642422764475469,0.07973779921333383
Indonesia,0.023692673484629098,0.39512124491320055,0.39161720178651593,0.8104311201843456
Armenia,0.012703662495618112,0.19841794820990383,0.13534517192958037,0.34646678263510233
Switzerland,0.011133803782902258,0.13494332759242608,0.13377531321686453,0.2798524445921929
Trinidad and Tobago,0.009563945070186401,0.07146870697494831,0.13220545450414867,0.21323810654928338
Argentina,0.007994086357470545,0.06989884826223246,0.06931484107445168,0.1472077756941547
Latvia,0.007994086357470545,0.06989884826223246,0.06931484107445168,0.1472077756941547
Nigeria,0.007994086357470545,0.06989884826223246,0.06931484107445168,0.1472077756941547
Vietnam,0.007994086357470545,0.06989884826223246,0.06931484107445168,0.1472077756941547
Lebanon,0.00642422764475469,0.06832898954951659,0.00642422764475469,0.08117744483902596
Luxembourg,0.00642422764475469,0.06832898954951659,0.00642422764475469,0.08117744483902596
Philippines,0.00642422764475469,0.06832898954951659,0.00642422764475469,0.08117744483902596
Samoa,0.00642422764475469,0.06832898954951659,0.00642422764475469,0.08117744483902596
Singapore,0.00642422764475469,0.06832898954951659,0.00642422764475469,0.08117744483902596
Sweden,0.011133803782902258,0.011133803782902258,0.25641682265082677,0.2786844302166313
Netherlands,0.009563945070186401,0.009563945070186401,0.1935262092211298,0.21265409936150262
Cameroon,0.00642422764475469,0.00642422764475469,0.06774498236173582,0.0805934376512452
India,0.00642422764475469,0.00642422764475469,0.06774498236173582,0.0805934376512452
Iraq,0.00642422764475469,0.00642422764475469,0.06774498236173582,0.0805934376512452
Lithuania,0.00642422764475469,0.00642422764475469,0.06774498236173582,0.0805934376512452
Qatar,0.00642422764475469,0.00642422764475469,0.06774498236173582,0.0805934376512452
Venezuela,0.00642422764475469,0.00642422764475469,0.06774498236173582,0.0805934376512452
Totals,14.004854368932039,14.004854368932039,14.004854368932039,42.01456310679612
