Nation,Gold,Silver,Bronze,Total
United States,2.3535851213597816,1.9007530105203356,2.7757530105203356,7.030091142400453
Japan,1.3890029536750084,0.8922629373750901,1.3181888633010157,3.599454754351114
Russia,4.225539425381364,2.152189792129531,3.263300903240642,9.641030120751537
Turkey,1.2596063827895243,0.8042274096843899,1.2394125948695753,3.3032463873434894
Sweden,1.2360666689833912,1.1972524880542958,2.3685487843505926,4.801867941388279
Finland,1.1505859874526296,1.2365680575422793,2.218049539023761,4.605203584018669
Hungary,0.8369051694930831,0.7138407848150063,1.4545815255557473,3.005327479863837
Bulgaria,0.7239662788583826,1.3922629373750899,1.614485159597312,3.7307143758307846
South Korea,0.49028024901266976,0.4914008684095728,1.0701045721132765,2.051785689535519
Iran,0.45420135025355857,0.6218867618265007,1.445960835900575,2.5220489479806343
Cuba,0.3961788778267357,0.27209574824238364,0.5406142667609022,1.2088888928300214
Romania,0.3224536821893911,0.36483347029045055,1.4389075443645247,2.126194696844366
Italy,0.3122655944150964,0.1879787158494892,0.7620527899235633,1.262297100188149
Poland,0.23227080630126265,0.39944684542106706,0.8392616602358818,1.4709793119582115
Estonia,0.22129901946740685,0.09680839192054458,0.3097713548835076,0.627878766271459
Germany,0.3765576593184082,1.0440393219100952,1.3773726552434284,2.7979696364719318
Azerbaijan,0.18835491694654014,0.3137624149090503,0.8369105630571985,1.339027894912789
Yugoslavia,0.18365272258917337,0.2673935538850169,0.4618379983294614,0.9128842748036516
France,0.1852201207082956,0.1856276186708058,0.75970169274488,1.1305494321239813
Switzerland,0.1820853244700511,0.1824928224325613,0.4602706002103391,0.8248487471129515
Canada,0.14287162947269538,0.3098439196112447,0.5366957714630965,0.9894113205470366
Ukraine,0.14052053229401198,0.22415948909922798,0.4602706002103391,0.8249506216035791
Georgia,0.14287162947269538,0.1848439196112447,0.7589179936853189,1.0866335427692588
Great Britain,0.14287162947269538,0.1848439196112447,0.7589179936853189,1.0866335427692588
North Korea,0.13738573605576748,0.09602469286098345,0.3830617298980205,0.6164721588147715
China,0.09660464293928948,0.13847505858721124,0.45791950303165574,0.6929992045581564
Armenia,0.0942535457606061,0.13612396140852787,0.2333461836307501,0.46372369079988407
Egypt,0.09346984670104497,0.13534026234896673,0.1584884104971149,0.3872985195471266
Uzbekistan,0.09346984670104497,0.09367359568230006,0.23256248457118897,0.419705926954534
Norway,0.09268614764148383,0.09288989662273893,0.15770471143755377,0.3432807557017765
Kazakhstan,0.058958346061056,0.22572688721835024,0.7581342946257577,1.042819527905164
Greece,0.05503985076325037,0.13847505858721124,0.5319935771057297,0.7255084864561914
Serbia,0.047202860167639075,0.005638067991599963,0.005638067991599963,0.058478996150839006
Belarus,0.013475058587211248,0.22180839192054458,0.45791950303165574,0.6932029535394115
Mongolia,0.011907660468088992,0.17857432713475566,0.3822780308384594,0.5727600184413041
Denmark,0.011907660468088992,0.136907660468089,0.4563521049125335,0.6051674258487114
Belgium,0.00720546611072222,0.13220546611072223,0.00720546611072222,0.1466163983321667
Russian Empire,0.00720546611072222,0.13220546611072223,0.00720546611072222,0.1466163983321667
India,0.008772864229844477,0.05043953089651114,0.3050691605261408,0.3642815556524964
Australia,0.00720546611072222,0.04887213277738888,0.1553536142588704,0.2114312131469815
Lebanon,0.00720546611072222,0.04887213277738888,0.1553536142588704,0.2114312131469815
Lithuania,0.006421767051161091,0.048088433717827755,0.08049584112523517,0.13500604189422402
Latvia,0.005638067991599963,0.04730473465826662,0.005638067991599963,0.058580870641466554
Mexico,0.005638067991599963,0.04730473465826662,0.005638067991599963,0.058580870641466554
Slovakia,0.005638067991599963,0.04730473465826662,0.005638067991599963,0.058580870641466554
Syria,0.005638067991599963,0.04730473465826662,0.005638067991599963,0.058580870641466554
Tajikistan,0.005638067991599963,0.04730473465826662,0.005638067991599963,0.058580870641466554
Austria,0.006421767051161091,0.006421767051161091,0.15456991519930927,0.16741344930163143
Colombia,0.006421767051161091,0.006421767051161091,0.15456991519930927,0.16741344930163143
Czech Republic,0.058958346061056,0.3090602205516836,0.6099861464776095,0.9780047130903491
Macedonia,0.005638067991599963,0.005638067991599963,0.07971214206567405,0.09098827804887398
Moldova,0.005638067991599963,0.005638067991599963,0.07971214206567405,0.09098827804887398
Pakistan,0.005638067991599963,0.005638067991599963,0.07971214206567405,0.09098827804887398
Tunisia,0.005638067991599963,0.005638067991599963,0.07971214206567405,0.09098827804887398
Totals,18.00485436893204,18.00485436893204,35.00485436893204,71.01456310679612
